pub_order,cluster_id,primary_keyword,category,content_type,n_keywords,agg_volume,min_kd,avg_weak_score,cluster_score,dominant_intent,is_lowfruit,ai_overview
1,CL-006,check engine light is blinking and car is shaking,Maintenance & DIY / Troubleshooting,evergreen-support,11,22290,0,97,11,Informational,True,True
2,CL-002,grinding noise when braking,Maintenance & DIY / Troubleshooting,evergreen-support,17,11660,0,100,11,Informational,True,True
3,CL-011,level 2 ev charger installation cost,Electric Vehicles & New Technology,pillar,6,10450,0,86,11,Commercial,True,True
4,CL-068,how long does a car wrap last,"Insurance, Financing & Cost of Ownership",cluster,1,6600,0,100,11,Informational,True,True
5,CL-017,how much does it cost to vinyl wrap a car,"Insurance, Financing & Cost of Ownership",cluster,4,29320,0,76,10,Informational,True,True
6,CL-005,is the gap insurance worth it,"Insurance, Financing & Cost of Ownership",cluster,12,19150,0,77,10,Informational,True,True
7,CL-008,most reliable luxury suv,Car Reviews & Comparisons,pillar,7,18250,0,70,10,Commercial,True,True
8,CL-014,best winter tires for an suv,"Gear, Accessories & Tools",cluster,5,5000,5,83,10,Informational,True,True
9,CL-009,how to bleed your brakes by yourself,Maintenance & DIY / Troubleshooting,evergreen-support,6,4990,0,100,10,Informational,True,True
10,CL-010,oil in spark plug well,Maintenance & DIY / Troubleshooting,evergreen-support,6,3920,0,98,10,Informational,True,True
11,CL-027,best car wax for black cars,"Gear, Accessories & Tools",cluster,3,3040,0,86,10,Informational,True,True
12,CL-067,car wrap near me,"Insurance, Financing & Cost of Ownership",pillar,1,90500,2,74,9,Transactional,True,False
13,CL-003,best portable car battery jump starter,"Gear, Accessories & Tools",cluster,16,45130,4,62,9,Transactional,True,True
14,CL-088,obd2 scanner bluetooth,"Gear, Accessories & Tools",cluster,1,14800,12,90,9,Informational,True,True
15,CL-061,most spacious 3rd row suv,Buying Guides,pillar,1,2900,0,80,9,Informational,True,True
16,CL-022,best 3 row suv for families,Buying Guides,cluster,3,1640,0,82,9,Informational,True,True
17,CL-081,chevy truck vs ford truck,Car Reviews & Comparisons,cluster,1,880,0,96,9,Informational,True,True
18,CL-031,rav4 vs cr v reliability,Car Reviews & Comparisons,cluster,2,420,0,100,9,Informational,True,True
